rating,username
2007.15,DiedLongAgo
2007.1,namitnayan32
2007.08,Shivam2001
2006.7,clafcm
2006.33,hss15
2006.2,mycoding1729
2005.54,lakshaygrover7
2005.11,believebelieve
2004.82,PARTHA04
2004.52,rohan101
2004.45,rhyme
2004.17,drig
2003.61,Namdev01
2003.43,meKabhi
2003.27,ujjawalgupta20
2003.02,legit_123
2002.77,shubhamavasthi1
2002.53,alphaQ1611
2002.37,nagendra_tomar
2001.83,Laxman77
2001.75,singhpriyank
2001.6,imakshay_31
2001.23,amitdhakite
2000.71,amanmahendroo2001
2000.57,malraharsh
2000.5,VipulBansalkirough
2000.41,nitinyadav3299
2000.35,sd_03
2000.07,a_ranjan_s
1999.75,igrishi
1999.6,user4953x
1999.5,nevergiveup_
1999.33,k4droid3
1999.28,BhavanD
1999.22,biley02
1998.72,prabhav_
1998.44,Kaushal349
1998.42,ritikm
1998.2,surajpatel
1998.15,user4451DI
1997.89,iamss072
1997.46,Decapitator
1997.45,uchiha6125
1997,jain_anshuman
1996.87,uddeshkadu
1996.8,ramrawat24
1996.76,Anushh23
1996.75,chrononn
1996.74,codingCheems
1996.67,SOUHARD
1996.53,_inert_
1996.33,suyash_jain_
1996.05,akhilrautela36
1995.63,saikat93ify
1994.87,spike02
1994.73,dk1108
1994.61,luctivud
1993.95,viyaaat
1993.88,Rajat__122
1993.64,mihiraman
1993.43,nonymous
1993.21,aadiupadhyay
1992.89,Ax_alchemy
1992.85,Ayushman_123
1992.48,sharmajatin741
1992.42,Knightmaree
1992.32,ishanjaincool81
1992.25,hardikchopra242
1991.98,ssaurabh
1991.8,harshit_x
1991.45,Pranay_16
1991.27,WTEF_adititiwari02
1991.12,go__on
1990.73,shantanu_joshi21
1990.51,cjchirag7
1990.06,aditya101rxl
1989.88,anukul1325
1989.58,lakshyaj21
1989.09,guddusinghojha
1988.64,madhuramjajoo10
1988.61,abitnav
1988.4,tejpratapp468
1987.61,kryptonite28
1987.54,jogarao_shiva
1987.52,tonystark_3000
1987.51,madMango
1987.29,agastya_singh
1986.6,_Shivam7
1986.33,kunal_mohta
1985.83,user7634rI
1985.82,naman238
1985.32,ankushkhanna1998
1985.13,vedantvalsangkar
1985.04,vishu91435
1984.44,breach10ck
1983.87,charlizard
1983.48,blair_
1983.42,gokul_raj_
1983.32,vijju123
1983.11,Hey-Siri
1983.02,RIankk123
1981.89,NaMN-0
1981.69,siddarthnamdev344
1981.68,Amitesh99
1981.32,programbhavan
1981.1,smitmangukiya
1980.23,hello_wrld
1979.82,ujjwalsingh30
1979.72,sri_akshya_18
1979.59,neeraj_2307
1979.42,a_bagde
1978.94,ravik25
1978.9,manishkumar13899
1978.9,vinyr
1978.88,Murphy__
1978.65,bipulsingh
1978.54,SUNNY1872
1978.33,yajassardana
1977.86,Sudhu_2000
1977.73,nichenametla
1977.48,chrisgriffin
1977.3,cyberghost2023
1977.23,vaibhavD143
1977.09,tejas512
1977.01,ritikgupta28
1976.98,not_that_guy
1976.79,ankitme
1976.77,shourabhpayal
1976.7,icarus_collapsar
1976.67,kush_165
1976.59,dp_82
1976.55,mitansh1398
1976.01,CrossHair
1976.01,inarizaki
1975.71,rahulp0491
1975.3,chamow
1975.27,Abhinandan__22
1974.97,ZombieReddy
1974.76,apocalypsian
1974.54,yaman21fast
1974.44,autimatic
1974.27,jyoti369
1974.11,RonWonWonn
1974.11,shreyashnahar0
1974.11,likhar
1974.09,Archit-Bikram
1973.68,sakhiya07
1973.46,lovish2552
1973.31,Vaibhavshekhawat
1973.25,madhukartt
1972.88,kingsmo
1972.27,shantanubhoyar02
1972.17,RahulRameshMahant
1972.16,pj423
1972.12,singhprashant8759
1971.8,radheshsarma2299
1971.59,Kartikey_1109
1971.54,sanilchugh05
1970.28,mayankpatel8011
1970.2,rajanarora1999
1969.72,zeeshan12
1969.59,krunalshastri00
1969.4,mayach971
1969.37,akashsuresh
1969.19,UJJWAL_MITTAL
1968.88,WizardPenguin
1968.75,Arpan_Goswami
1968.71,Bhudhimaan
1967.87,vidit_bhardwaj
1967.76,manishm9730
1967.74,Emyre
1967.3,Alok_k
1967.11,ashishdtu007
1967.08,Sid200026
1966.9,harry_122
1966.33,akashanandpatil219
1966.27,Fluffy_X
1966.21,f20150094
1965.9,jainamshah102
1964.64,ashishmanglani3
1964.26,EtherS
1964.21,appu_23
1963.66,natoyato_
1963.49,rishabhrawat192
1963.31,itz_arnav
1963.09,destroyerguy
1963.06,tejkiran_v
1962.08,Aquaman69
1961.78,skkyal
1961.68,prabhpreet1601
1961.48,vdua447
1961.08,arpitpandey992
1960.87,itsStrange
1960.85,Sjai786
1960.56,ishabhgupta
1960.49,sahil_d70
1960.49,Maverick97
1960.33,yozaam
1959.78,Arsator
1959.62,rohit970819
1959.52,programmer_neo
1959.24,sathiaseelan
1959.02,vrintle
1958.93,Angiras
1958.84,yash-15
1958.76,dd_07
1958.63,deepakpalrocks
1958.07,dgl23
1957.99,inanikalit31
1957.93,roger2001
1957.79,mitthu
1957.74,milapanwani
1957.67,kayush
1957.64,red_grave
1956.68,abhiaj
1956.25,godlike_011
1956.24,ashu_3916
1956.01,nkgoyal272
1955.5,tarun_____
1955.16,kshitijanand2
1955.07,chemEn
1955.06,Harsh_vora
1954.53,adityabandal
1954.28,Araragi_Koyomi
1954.04,mystic_ankush
1953.97,Anshuman2043
1953.63,adg1822
1953.32,srikarpss
1953.26,mayan_jain
1953.23,happens
1952.97,Ashishgup1
1952.86,jerinjoseantony
1952.57,technophile798
1952.55,unstoppable_N
1952.23,Suryansh_Singh
1951.61,i_QUaSaR
1951.44,ayush_dragneel
1951.21,itish123
1951.02,Mayank3111
1950.69,Sagittarius_A_star
